subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
100,1,1,0.1146,0.4761,-0.1294,0.1294,0.112,-0.1072,0.1072,0.1809,-0.1254,0.1254,0.6217,-0.1337,0.1337,1.191,-0.1341,0.1341,1.15,-0.1377,0.1377,0.6458,-0.1194,0.1194,0.1296,-0.1153,0.1153,0.2298,-0.126,0.126,0.4497,-0.1129,0.1129
100,1,2,0.1183,0.9845,-0.1405,0.1405,0.1345,-0.1071,0.1071,0.1644,-0.1437,0.1437,0.3702,-0.1578,0.1578,0.57,-0.1879,0.1879,0.6817,-0.1162,0.1162,0.182,-0.1471,0.1471,0.1649,-0.0797,0.0797,0.7189,-0.1161,0.1161,0.3485,-0.1475,0.1475
100,1,3,0.0736,0.4167,-0.1496,0.1496,0.1657,-0.1378,0.1378,0.1754,-0.1737,0.1737,0.342,-0.1643,0.1643,-3.0271,-3.6839,3.6839,0.4396,-0.1435,0.1435,1.2271,-0.1585,0.1585,0.175,-0.1294,0.1294,0.2796,-0.1342,0.1342,0.3355,-0.1847,0.1847
100,1,4,0.1203,0.1888,-0.1599,0.1599,0.1848,-0.1206,0.1206,0.1337,-0.1672,0.1672,0.2963,-0.1722,0.1722,0.4939,-0.1836,0.1836,0.4393,-0.1269,0.1269,0.1895,-0.1385,0.1385,0.1748,-0.1272,0.1272,0.3179,-0.1285,0.1285,0.3894,-0.1778,0.1778
100,2,1,0.1245,0.1881,-0.1506,0.1506,0.2254,-0.1165,0.1165,0.2852,-0.1584,0.1584,0.2582,-0.1667,0.1667,-3.716,-4.4344,4.4344,1.1025,-0.1314,0.1314,0.1796,-0.1475,0.1475,0.124,-0.1236,0.1236,0.2677,-0.1155,0.1155,0.2747,-0.1623,0.1623
100,2,2,0.1172,0.2256,-0.1585,0.1585,0.224,-0.1522,0.1522,0.1793,-0.1572,0.1572,0.249,-0.1421,0.1421,-3.4035,-4.0807,4.0807,0.5993,-0.1246,0.1246,0.2156,-0.1513,0.1513,0.1612,-0.1222,0.1222,0.2707,-0.1255,0.1255,0.2842,-0.1777,0.1777
100,2,3,0.1496,0.3673,-0.1399,0.1399,0.1668,-0.1372,0.1372,0.1536,-0.148,0.148,0.2387,-0.1632,0.1632,0.5117,-0.1948,0.1948,0.4923,-0.1247,0.1247,0.1985,-0.1499,0.1499,0.1335,-0.1325,0.1325,0.2483,-0.1292,0.1292,0.2806,-0.1927,0.1927
100,2,4,0.1263,0.3424,-0.1456,0.1456,0.1279,-0.1336,0.1336,0.1837,-0.1669,0.1669,0.3239,-0.1569,0.1569,0.7536,-0.1567,0.1567,0.5181,-0.1311,0.1311,0.2231,-0.1529,0.1529,0.1427,-0.1432,0.1432,0.3105,-0.1259,0.1259,0.2702,-0.1571,0.1571
100,2,5,0.1285,0.4374,-0.1612,0.1612,0.1612,-0.1255,0.1255,0.1658,-0.1656,0.1656,0.9258,-0.1495,0.1495,0.4784,-0.1856,0.1856,0.4165,-0.1254,0.1254,0.2335,-0.1356,0.1356,0.1605,-0.1337,0.1337,0.2584,-0.1343,0.1343,0.2946,-0.214,0.214
100,2,6,0.1461,0.5721,-0.1557,0.1557,0.1454,-0.1384,0.1384,0.1724,-0.174,0.174,0.2889,-0.1501,0.1501,0.803,-0.1829,0.1829,0.9222,-0.1333,0.1333,0.1828,-0.1565,0.1565,0.1644,-0.116,0.116,0.2271,-0.142,0.142,0.3159,-0.1885,0.1885
100,2,7,0.1339,0.5895,-0.1496,0.1496,0.218,-0.1311,0.1311,0.1597,-0.169,0.169,0.2647,-0.1695,0.1695,0.9589,-0.1569,0.1569,0.4077,-0.1316,0.1316,0.1899,-0.1717,0.1717,0.1663,-0.1335,0.1335,0.3013,-0.1261,0.1261,0.3329,-0.2003,0.2003
100,2,8,0.1225,0.2729,-0.1593,0.1593,0.2336,-0.1568,0.1568,0.1487,-0.1678,0.1678,0.3329,-0.0825,0.0825,0.7061,-0.1649,0.1649,0.5257,-0.1251,0.1251,0.1753,-0.1484,0.1484,0.1923,-0.1208,0.1208,0.2713,-0.1347,0.1347,0.2841,-0.1797,0.1797
100,2,9,0.1526,0.6706,-0.1577,0.1577,0.3526,-0.1497,0.1497,0.1559,-0.1802,0.1802,0.5741,-0.1637,0.1637,0.5363,-0.1799,0.1799,0.4122,-0.0738,0.0738,0.569,-0.149,0.149,0.1231,-0.1172,0.1172,0.2553,-0.1339,0.1339,0.3335,-0.0921,0.0921
100,2,10,0.1232,0.2811,-0.1618,0.1618,0.1702,-0.1089,0.1089,0.1233,-0.1657,0.1657,0.2655,-0.1591,0.1591,0.5649,-0.1689,0.1689,0.7262,-0.1233,0.1233,0.1401,-0.1424,0.1424,0.1495,-0.1329,0.1329,0.2495,-0.1301,0.1301,0.3375,-0.1692,0.1692
100,2,11,0.1027,0.2044,-0.154,0.154,0.1742,-0.1343,0.1343,0.1434,-0.1484,0.1484,0.2814,-0.1678,0.1678,-6.6435,-7.4259,7.4259,0.733,-0.1274,0.1274,0.2001,-0.1518,0.1518,0.1406,-0.1162,0.1162,0.2338,-0.117,0.117,0.3313,-0.1685,0.1685
100,2,12,0.1172,0.3417,-0.1288,0.1288,0.1213,-0.1247,0.1247,0.156,-0.1532,0.1532,0.2875,-0.1424,0.1424,0.4691,-0.1854,0.1854,0.4359,0.0,0.0,0.0584,-0.1421,0.1421,0.1586,-0.1357,0.1357,0.2686,-0.1277,0.1277,0.3406,-0.1687,0.1687
100,2,13,0.1167,0.3259,-0.1528,0.1528,0.1729,-0.1317,0.1317,0.2166,-0.1708,0.1708,0.252,-0.14,0.14,0.4784,-0.1794,0.1794,-7.4406,-7.9502,7.9502,7.9836,-0.1568,0.1568,0.101,-0.1229,0.1229,0.2413,-0.1043,0.1043,0.386,-0.1668,0.1668
100,2,14,0.106,0.1712,-0.1591,0.1591,0.2105,-0.1123,0.1123,0.1281,-0.1555,0.1555,0.2731,-0.1848,0.1848,0.6089,-0.1858,0.1858,0.3841,-0.1345,0.1345,0.19,-0.1594,0.1594,0.1169,-0.1177,0.1177,0.2087,-0.119,0.119,0.7564,-0.1499,0.1499
100,2,15,0.1557,1.1333,-0.157,0.157,0.1465,-0.1245,0.1245,0.6811,-0.1721,0.1721,0.3714,-0.11,0.11,0.6575,-0.1797,0.1797,0.3982,-0.144,0.144,0.2281,-0.1661,0.1661,0.1487,-0.1237,0.1237,0.7603,-0.1066,0.1066,0.2568,-0.1509,0.1509
100,2,16,0.1366,0.5275,-0.1486,0.1486,0.1598,-0.1225,0.1225,0.1631,-0.1576,0.1576,0.3316,-0.1501,0.1501,0.5073,-0.1808,0.1808,0.4846,0.0,0.0,0.0664,-0.1648,0.1648,0.1575,-0.1336,0.1336,0.2667,-0.146,0.146,0.3337,-0.162,0.162
100,2,17,0.155,0.3996,-0.1536,0.1536,0.1449,-0.1226,0.1226,0.179,-0.1666,0.1666,0.2941,-0.1793,0.1793,0.5621,-0.1748,0.1748,-2.7603,-3.2726,3.2726,3.4921,-0.1724,0.1724,0.1669,-0.1224,0.1224,0.2274,-0.125,0.125,0.3589,-0.1516,0.1516
100,2,18,0.1262,0.1927,-0.1436,0.1436,0.1779,-0.1084,0.1084,0.1292,-0.1502,0.1502,0.3242,-0.1529,0.1529,0.5333,-0.2299,0.2299,0.5055,-0.1337,0.1337,0.227,-0.1617,0.1617,0.1263,-0.1267,0.1267,0.2304,-0.1324,0.1324,0.4648,-0.1749,0.1749
100,2,19,0.1129,0.4722,-0.1436,0.1436,0.2121,-0.1099,0.1099,0.1596,-0.1458,0.1458,0.5238,-0.1349,0.1349,0.5031,-0.1579,0.1579,0.6602,-0.1285,0.1285,0.2093,-0.1386,0.1386,0.1472,-0.1257,0.1257,0.2455,-0.1176,0.1176,0.3283,-0.1584,0.1584
100,2,20,0.0976,0.2278,-0.1416,0.1416,0.1669,-0.1165,0.1165,0.199,-0.1232,0.1232,0.442,-0.1426,0.1426,0.5306,-0.1609,0.1609,0.4454,-0.1216,0.1216,0.1426,-0.148,0.148,0.148,-0.1246,0.1246,0.2486,-0.1251,0.1251,0.3537,-0.1533,0.1533
100,2,21,0.1433,0.4539,-0.1511,0.1511,1.125,-0.1079,0.1079,0.1641,-0.1239,0.1239,0.5193,-0.1585,0.1585,0.661,-0.1637,0.1637,0.4854,-0.1175,0.1175,0.1911,-0.128,0.128,0.1062,-0.1213,0.1213,0.2369,-0.1355,0.1355,0.3048,-0.1754,0.1754
100,2,22,0.1254,0.3119,-0.1224,0.1224,0.1495,-0.1326,0.1326,0.2122,-0.149,0.149,0.3231,-0.1556,0.1556,0.5125,-0.1697,0.1697,0.4521,-0.1152,0.1152,0.157,-0.1524,0.1524,0.1362,-0.1179,0.1179,0.2348,-0.1168,0.1168,0.3004,-0.18,0.18
100,2,23,0.1657,0.7499,-0.1544,0.1544,0.1117,-0.1393,0.1393,0.2224,-0.1593,0.1593,0.3687,-0.17,0.17,-4.0642,-4.8238,4.8238,-4.1331,-4.7198,4.7198,4.785,-0.169,0.169,0.1601,-0.1493,0.1493,0.3068,-0.1436,0.1436,0.5679,-0.1837,0.1837
100,2,24,0.1526,0.7687,-0.1646,0.1646,0.1479,-0.1267,0.1267,0.1939,-0.1492,0.1492,0.3936,-0.185,0.185,0.6344,-0.2057,0.2057,1.0868,-0.1419,0.1419,0.1989,-0.1579,0.1579,0.1579,-0.1346,0.1346,0.2514,-0.1336,0.1336,0.3506,-0.1839,0.1839
100,2,25,0.1582,0.4783,-0.1548,0.1548,0.1543,-0.1335,0.1335,0.1878,-0.1582,0.1582,0.6243,-0.1761,0.1761,-6.7028,-7.4858,7.4858,0.5954,-0.1249,0.1249,0.5486,-0.1663,0.1663,0.1093,-0.1394,0.1394,0.239,-0.1456,0.1456,0.5148,-0.1716,0.1716
100,2,26,0.1751,0.391,-0.133,0.133,0.1513,-0.1087,0.1087,0.1646,-0.1502,0.1502,0.3073,-0.1271,0.1271,0.4619,-0.1604,0.1604,0.4608,0.0,0.0,2.785,-0.1538,0.1538,0.1115,-0.1147,0.1147,0.2215,-0.1181,0.1181,0.3738,-0.168,0.168
100,2,27,0.1104,0.3089,-0.1514,0.1514,0.1926,-0.1136,0.1136,0.1949,-0.1802,0.1802,0.2977,-0.15,0.15,0.609,-0.1666,0.1666,-5.7882,-6.4011,6.4011,8.1013,-0.1514,0.1514,0.1444,-0.1208,0.1208,0.216,-0.1106,0.1106,0.3453,-0.1628,0.1628
100,2,28,0.1247,0.9774,-0.1936,0.1936,0.1946,-0.0556,0.0556,0.196,-0.1488,0.1488,0.2783,-0.1324,0.1324,0.4973,-0.1627,0.1627,0.4175,-0.1254,0.1254,0.1573,-0.1503,0.1503,0.1878,-0.1416,0.1416,0.348,-0.1092,0.1092,0.3945,-0.178,0.178
100,2,29,0.1075,0.3434,-0.1325,0.1325,0.15,-0.1066,0.1066,0.154,-0.1648,0.1648,0.3929,-0.1529,0.1529,0.6713,-0.173,0.173,0.5008,-0.1261,0.1261,0.1894,-0.1419,0.1419,0.1672,-0.1246,0.1246,0.2926,-0.0914,0.0914,0.4243,-0.1628,0.1628
100,2,30,0.1001,0.2473,-0.1571,0.1571,0.1881,-0.1021,0.1021,0.1349,-0.1615,0.1615,0.2717,-0.1409,0.1409,0.4956,-0.1727,0.1727,0.4124,-0.1188,0.1188,0.1378,-0.1594,0.1594,0.1764,-0.1071,0.1071,0.2322,-0.1183,0.1183,0.3534,-0.1606,0.1606
100,2,31,0.099,0.1648,-0.1652,0.1652,0.1909,-0.1232,0.1232,0.1565,-0.1579,0.1579,0.332,-0.1435,0.1435,0.4477,-0.1685,0.1685,0.4638,0.0,0.0,0.037,-0.1575,0.1575,0.1153,-0.0998,0.0998,0.2209,-0.0996,0.0996,0.3433,-0.1615,0.1615
100,2,32,0.0983,0.2207,-0.1405,0.1405,0.1405,-0.1052,0.1052,0.1301,-0.1601,0.1601,0.4099,-0.1415,0.1415,0.7278,-0.1599,0.1599,-17.5739,-18.4809,18.4809,18.5713,-0.1291,0.1291,0.116,-0.1217,0.1217,0.2266,-0.1124,0.1124,0.3071,-0.1603,0.1603
100,2,33,0.0977,0.1891,-0.1398,0.1398,0.2059,-0.1068,0.1068,0.1235,-0.148,0.148,0.2793,-0.167,0.167,0.5113,-0.1843,0.1843,0.4628,0.0,0.0,0.0227,-0.167,0.167,0.136,-0.1129,0.1129,0.2132,-0.1071,0.1071,0.499,-0.1743,0.1743
100,2,34,0.1162,0.2307,-0.1407,0.1407,0.1576,-0.1133,0.1133,0.1387,-0.1465,0.1465,0.2675,-0.1309,0.1309,0.4943,-0.1486,0.1486,-2.8874,-3.3396,3.3396,3.4051,-0.1517,0.1517,0.1336,-0.1111,0.1111,0.242,-0.1051,0.1051,0.4014,-0.1687,0.1687
100,2,35,0.1306,1.4017,-0.1538,0.1538,0.1371,-0.1532,0.1532,0.1944,-0.1496,0.1496,0.409,-0.152,0.152,-3.5158,-4.1992,4.1992,0.3796,-0.1157,0.1157,0.3908,-0.138,0.138,0.1281,-0.118,0.118,0.226,-0.099,0.099,0.3609,-0.1677,0.1677
100,2,36,0.1174,0.9042,-0.1363,0.1363,0.1825,-0.11,0.11,0.1522,-0.167,0.167,0.2985,-0.1561,0.1561,-3.8764,-4.6202,4.6202,0.4053,-0.1182,0.1182,0.1507,-0.1684,0.1684,0.1521,-0.1082,0.1082,0.3109,-0.1126,0.1126,0.3171,-0.1693,0.1693
100,2,37,0.1101,0.2768,-0.1507,0.1507,0.1677,-0.134,0.134,0.1652,-0.1509,0.1509,0.2914,-0.1407,0.1407,0.4595,-0.1755,0.1755,0.4452,0.0,0.0,0.0426,-0.153,0.153,0.1283,-0.1215,0.1215,0.4777,-0.1433,0.1433,0.5219,-0.1301,0.1301
