Task,Experiment,Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Stroke Prediction,Experiment A: Real Only (Unweighted),Random Forest,0.9500978473581213,0.3333333333333333,0.02,0.03773584905660377,0.7990946502057613
Stroke Prediction,Experiment A: Real Only (Unweighted),Logistic Regression,0.9510763209393346,0.0,0.0,0.0,0.8376748971193416
Stroke Prediction,Experiment A: Real Only (Unweighted),XGBoost,0.949119373776908,0.375,0.06,0.10344827586206896,0.8003292181069959
Stroke Prediction,Experiment A: Real Only (Unweighted),LightGBM,0.9452054794520548,0.25,0.06,0.0967741935483871,0.825
Stroke Prediction,Experiment A: Real Only (Unweighted),CatBoost,0.9461839530332681,0.14285714285714285,0.02,0.03508771929824561,0.8217283950617283
Stroke Prediction,Experiment A: Real Only (Weighted),Random Forest,0.9383561643835616,0.21739130434782608,0.1,0.136986301369863,0.7978703703703703
Stroke Prediction,Experiment A: Real Only (Weighted),Logistic Regression,0.7514677103718199,0.14084507042253522,0.8,0.23952095808383234,0.8387448559670782
Stroke Prediction,Experiment A: Real Only (Weighted),XGBoost,0.9403131115459883,0.2962962962962963,0.16,0.2077922077922078,0.7918724279835391
Stroke Prediction,Experiment A: Real Only (Weighted),LightGBM,0.9187866927592955,0.23809523809523808,0.3,0.26548672566371684,0.8202057613168725
Stroke Prediction,Experiment A: Real Only (Weighted),CatBoost,0.9031311154598826,0.21176470588235294,0.36,0.26666666666666666,0.8085390946502058
Stroke Prediction,Experiment B: Real + Synthetic (Weighted),Random Forest,0.9481409001956947,0.0,0.0,0.0,0.7134670781893003
Stroke Prediction,Experiment B: Real + Synthetic (Weighted),Logistic Regression,0.7690802348336595,0.1423076923076923,0.74,0.23870967741935484,0.8077983539094651
Stroke Prediction,Experiment B: Real + Synthetic (Weighted),XGBoost,0.8277886497064579,0.12941176470588237,0.44,0.2,0.7184362139917695
Stroke Prediction,Experiment B: Real + Synthetic (Weighted),LightGBM,0.723091976516634,0.07636363636363637,0.42,0.12923076923076923,0.6805761316872427
Stroke Prediction,Experiment B: Real + Synthetic (Weighted),CatBoost,0.8043052837573386,0.12121212121212122,0.48,0.1935483870967742,0.7306995884773662
Keystroke User ID,Standard Multi-Class,Random Forest,0.4583333333333333,0.4316919191919192,0.4583333333333333,0.438934868145327,0.6463267469270793
Keystroke User ID,Standard Multi-Class,Logistic Regression,0.4583333333333333,0.47440245478036175,0.4583333333333333,0.42420776289019124,0.5893040559357552
Keystroke User ID,Standard Multi-Class,XGBoost,0.48333333333333334,0.4713063417190776,0.48333333333333334,0.47608798053018603,0.6572745510271477
Keystroke User ID,Standard Multi-Class,LightGBM,0.5083333333333333,0.5069419006919007,0.5083333333333333,0.507486063399164,0.6723681101822979
Keystroke User ID,Standard Multi-Class,CatBoost,0.48333333333333334,0.4661766204128207,0.48333333333333334,0.47109417685118615,0.6598947190809468
