Threshold,Accuracy,Precision,Recall,F1,Specificity,FPR,FNR,TP,FP,FN,TN
0.05,0.6415,0.1005,0.9286,0.1814,0.6287,0.3713,0.0714,39,349,3,591
0.06,0.6833,0.1124,0.9286,0.2005,0.6723,0.3277,0.0714,39,308,3,632
0.07,0.6833,0.1124,0.9286,0.2005,0.6723,0.3277,0.0714,39,308,3,632
0.08,0.723,0.1242,0.9048,0.2184,0.7149,0.2851,0.0952,38,268,4,672
0.09,0.7393,0.131,0.9048,0.2289,0.7319,0.2681,0.0952,38,252,4,688
0.1,0.7393,0.131,0.9048,0.2289,0.7319,0.2681,0.0952,38,252,4,688
0.11,0.7637,0.1402,0.881,0.2418,0.7585,0.2415,0.119,37,227,5,713
0.12,0.776,0.1468,0.881,0.2517,0.7713,0.2287,0.119,37,215,5,725
0.13,0.776,0.1468,0.881,0.2517,0.7713,0.2287,0.119,37,215,5,725
0.14,0.7872,0.1535,0.881,0.2615,0.783,0.217,0.119,37,204,5,736
0.15,0.8157,0.1706,0.8571,0.2846,0.8138,0.1862,0.1429,36,175,6,765
0.16,0.8248,0.1782,0.8571,0.2951,0.8234,0.1766,0.1429,36,166,6,774
0.17,0.836,0.1818,0.8095,0.2969,0.8372,0.1628,0.1905,34,153,8,787
0.18,0.8411,0.1833,0.7857,0.2973,0.8436,0.1564,0.2143,33,147,9,793
0.19,0.8411,0.1833,0.7857,0.2973,0.8436,0.1564,0.2143,33,147,9,793
0.2,0.8544,0.1939,0.7619,0.3092,0.8585,0.1415,0.2381,32,133,10,807
0.21,0.8697,0.2055,0.7143,0.3191,0.8766,0.1234,0.2857,30,116,12,824
0.22,0.8758,0.2143,0.7143,0.3297,0.883,0.117,0.2857,30,110,12,830
0.23,0.887,0.2326,0.7143,0.3509,0.8947,0.1053,0.2857,30,99,12,841
0.24,0.891,0.2314,0.6667,0.3436,0.9011,0.0989,0.3333,28,93,14,847
0.25,0.8961,0.2368,0.6429,0.3462,0.9074,0.0926,0.3571,27,87,15,853
0.26,0.9084,0.2647,0.6429,0.375,0.9202,0.0798,0.3571,27,75,15,865
0.27,0.9084,0.2647,0.6429,0.375,0.9202,0.0798,0.3571,27,75,15,865
0.28,0.9124,0.2708,0.619,0.3768,0.9255,0.0745,0.381,26,70,16,870
0.29,0.9185,0.2889,0.619,0.3939,0.9319,0.0681,0.381,26,64,16,876
0.3,0.9206,0.2857,0.5714,0.381,0.9362,0.0638,0.4286,24,60,18,880
0.31,0.9257,0.3038,0.5714,0.3967,0.9415,0.0585,0.4286,24,55,18,885
0.32,0.9297,0.3151,0.5476,0.4,0.9468,0.0532,0.4524,23,50,19,890
0.33,0.9297,0.3151,0.5476,0.4,0.9468,0.0532,0.4524,23,50,19,890
0.34,0.9338,0.3284,0.5238,0.4037,0.9521,0.0479,0.4762,22,45,20,895
0.35,0.943,0.375,0.5,0.4286,0.9628,0.0372,0.5,21,35,21,905
0.36,0.945,0.3889,0.5,0.4375,0.9649,0.0351,0.5,21,33,21,907
0.37,0.9481,0.4118,0.5,0.4516,0.9681,0.0319,0.5,21,30,21,910
0.38,0.9491,0.413,0.4524,0.4318,0.9713,0.0287,0.5476,19,27,23,913
0.39,0.9521,0.4419,0.4524,0.4471,0.9745,0.0255,0.5476,19,24,23,916
0.4,0.9542,0.4595,0.4048,0.4304,0.9787,0.0213,0.5952,17,20,25,920
0.41,0.9552,0.4722,0.4048,0.4359,0.9798,0.0202,0.5952,17,19,25,921
0.42,0.9552,0.4706,0.381,0.4211,0.9809,0.0191,0.619,16,18,26,922
0.43,0.9572,0.5,0.3571,0.4167,0.984,0.016,0.6429,15,15,27,925
0.44,0.9593,0.5385,0.3333,0.4118,0.9872,0.0128,0.6667,14,12,28,928
0.45,0.9582,0.52,0.3095,0.3881,0.9872,0.0128,0.6905,13,12,29,928
0.46,0.9572,0.5,0.2381,0.3226,0.9894,0.0106,0.7619,10,10,32,930
0.47,0.9562,0.4737,0.2143,0.2951,0.9894,0.0106,0.7857,9,10,33,930
0.48,0.9562,0.4737,0.2143,0.2951,0.9894,0.0106,0.7857,9,10,33,930
0.49,0.9562,0.4737,0.2143,0.2951,0.9894,0.0106,0.7857,9,10,33,930
0.5,0.9562,0.4737,0.2143,0.2951,0.9894,0.0106,0.7857,9,10,33,930
