Experiment,Model,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1-Score_Mean,F1-Score_Std,ROC-AUC_Mean,ROC-AUC_Std,PR-AUC_Mean,PR-AUC_Std
C1: Real Only,Random Forest,0.9383575787139424,0.009099772550868943,0.24565656565656563,0.19273341370475947,0.10025641025641026,0.06499709192908051,0.13975830139492113,0.09345238725896321,0.8319138045712595,0.009235635904270456,0.1755973499582721,0.046916369998859654
C1: Real Only,Logistic Regression,0.7365476293793563,0.012351571986863586,0.13073673810358835,0.008236543113540381,0.7788461538461539,0.024836745063019885,0.22384742504507585,0.012948324073227954,0.8388461684798445,0.014292058717743191,0.17714049084467348,0.03641112679513276
C1: Real Only,XGBoost,0.9241661753747534,0.0063576573784541015,0.19242310577644411,0.06328091592791389,0.17576923076923076,0.06491460024866352,0.18304221828783837,0.0639662834212086,0.8088353478199236,0.021239743557796977,0.16693807535721528,0.04827418074598229
C1: Real Only,LightGBM,0.9099789617330982,0.00836639288815519,0.16667794221282592,0.04834476411606188,0.20589743589743592,0.04241904537956828,0.18372432210773257,0.04561071692813256,0.8264724476871006,0.021086246378277065,0.184493731249496,0.04347218331938297
C1: Real Only,CatBoost,0.8862497119582946,0.008041969069615905,0.15115325649443467,0.03979636131889394,0.2911538461538462,0.08065559772134222,0.19874223516427483,0.053276703897652655,0.8053313462053822,0.02279612541201356,0.1729733398022699,0.04653538611810964
C3-A: Real + Synth 1:1,Random Forest,0.9436158901774299,0.004674863884031249,0.19350649350649352,0.13947592437229983,0.04,0.028939592256975562,0.06520676282879037,0.046376324932238,0.681138887224229,0.031545575595408534,0.09937174624333449,0.02053043988802331
C3-A: Real + Synth 1:1,Logistic Regression,0.6183928130818062,0.018547236381426496,0.07877243840275684,0.003527530352774714,0.6375,0.06566962768281848,0.14016495277239796,0.007073282104568327,0.6830317358797808,0.012289310434304982,0.08916337920972875,0.00441738035874853
C3-A: Real + Synth 1:1,XGBoost,0.9099808588113023,0.0028124204428870052,0.10830831783053958,0.029646664093674367,0.11749999999999998,0.03674234614174768,0.11260074370402236,0.03279387034696104,0.6486614340092082,0.0161158559077176,0.08572163177427541,0.011303767749219462
C3-A: Real + Synth 1:1,LightGBM,0.8715759329460233,0.005274726212772445,0.10129602421820197,0.027186888974449257,0.20749999999999996,0.058416607227739614,0.13606275888224004,0.03693499544629628,0.6582853036477404,0.034980033748067275,0.09129873353965293,0.014030726284955577
C3-A: Real + Synth 1:1,CatBoost,0.8748777132261127,0.005718653235216411,0.12229129382965429,0.025669428663470967,0.2525,0.05612486080160913,0.1647195848819695,0.03510032988920173,0.66721615838286,0.02276754969004609,0.09668063807009786,0.016305807749489115
C3-B: Real + Synth 2:1,Random Forest,0.94259689876102,0.003763868702717752,0.13067821067821067,0.07360063340058057,0.03407364114552893,0.021580190019205792,0.053660712554895594,0.03329239298005435,0.730264314714045,0.031733239788734074,0.11275773059693402,0.015424367463155689
C3-B: Real + Synth 2:1,Logistic Regression,0.6521534904560389,0.010191202588621403,0.0898724986143149,0.0077019629218461364,0.6873173582700176,0.07990315642424667,0.15893289815485478,0.014139762133778872,0.7246127999612189,0.034259744741838814,0.10010250791840433,0.01320379258811875
C3-B: Real + Synth 2:1,XGBoost,0.9169947257930922,0.00815769750535829,0.13728636989720733,0.030538735260334227,0.13272939801285796,0.013541676177970429,0.13421423945165853,0.020797729842641118,0.6884337129502811,0.039046989400256846,0.09675619097957988,0.01557203020660531
C3-B: Real + Synth 2:1,LightGBM,0.8905763603319015,0.010398021565498338,0.1337288187949929,0.02922806456961017,0.22805376972530683,0.029057158367083478,0.1682455813173575,0.030775455490877655,0.702844334238502,0.04260033559367303,0.1017434531492611,0.02085789315865238
C3-B: Real + Synth 2:1,CatBoost,0.8850306653850092,0.00520534613199177,0.1416041437544811,0.018496165413980716,0.2788427819988311,0.0579895729058799,0.1874656380932625,0.028647014342343548,0.700584651847503,0.04308181417820889,0.11295698468527744,0.024840839413990973
C3-C: Real + Synth 4:1,Random Forest,0.9412915851272015,0.0023154911088452508,0.15138888888888888,0.028598972613852778,0.04914965986394557,0.009863945578231292,0.07395331037122081,0.014075140242076211,0.7766835384219848,0.03188019455295925,0.12859463866342874,0.021510627398285923
C3-C: Real + Synth 4:1,Logistic Regression,0.6855185909980431,0.020418003073616426,0.10517733287685005,0.005312149625716676,0.7454931972789115,0.07985757863806973,0.18423383220174547,0.010211885101598598,0.772360790883101,0.030676994105546026,0.1260446095416346,0.024213212044397962
C3-C: Real + Synth 4:1,XGBoost,0.924853228962818,0.005617495144582127,0.13116995187580022,0.07139636755017843,0.10629251700680271,0.06739931310554205,0.11641225465940952,0.06817472497824449,0.7263681955579566,0.04385473599189441,0.11190503556819956,0.030878603203781954
C3-C: Real + Synth 4:1,LightGBM,0.9031311154598824,0.00654919785936653,0.15724766165309237,0.0233427107853235,0.2375,0.05644849631619828,0.1883139351154755,0.032277305603416,0.7673839639802098,0.04610127375755413,0.12614469539036205,0.024487281337827925
C3-C: Real + Synth 4:1,CatBoost,0.8868884540117417,0.004896280236084824,0.13113226328231925,0.035108201072793915,0.24566326530612245,0.07238607501948398,0.17094253069073212,0.04735025996594701,0.7473940001978578,0.023946279742655327,0.1242679312543082,0.01646100889224542
