Experiment,Model,Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
C1: Real Only,Random Forest,1,0.9315403422982885,0.05555555555555555,0.025,0.034482758620689655,0.8224775064267353,0.15082729626001118
C1: Real Only,Random Forest,2,0.9462102689486552,0.4,0.2,0.26666666666666666,0.8486343187660669,0.2501269591302345
C1: Real Only,Random Forest,3,0.9315403422982885,0.13636363636363635,0.075,0.0967741935483871,0.8282937017994858,0.141996738446358
C1: Real Only,Random Forest,4,0.9302325581395349,0.09090909090909091,0.05128205128205128,0.06557377049180328,0.825720123920638,0.12522157886708607
C1: Real Only,Random Forest,5,0.9522643818849449,0.5454545454545454,0.15,0.23529411764705882,0.8344433719433719,0.2098141770876707
C1: Real Only,Logistic Regression,1,0.71760391198044,0.1225296442687747,0.775,0.21160409556313994,0.8246786632390746,0.14991792882557037
C1: Real Only,Logistic Regression,2,0.7530562347188264,0.14473684210526316,0.825,0.2462686567164179,0.8560411311053986,0.22855143161951158
C1: Real Only,Logistic Regression,3,0.7322738386308069,0.12552301255230125,0.75,0.21505376344086022,0.8277313624678664,0.15898367015202364
C1: Real Only,Logistic Regression,4,0.7331701346389229,0.12552301255230125,0.7692307692307693,0.2158273381294964,0.829312504119702,0.13606661100516151
C1: Real Only,Logistic Regression,5,0.7466340269277846,0.13537117903930132,0.775,0.23048327137546468,0.8564671814671814,0.2121828126211004
C1: Real Only,XGBoost,1,0.9254278728606357,0.16129032258064516,0.125,0.14084507042253522,0.77676735218509,0.13439591027037998
C1: Real Only,XGBoost,2,0.9339853300733496,0.3157894736842105,0.3,0.3076923076923077,0.8355077120822622,0.2611605945134117
C1: Real Only,XGBoost,3,0.921760391198044,0.18421052631578946,0.175,0.1794871794871795,0.7938946015424164,0.12911638350672489
C1: Real Only,XGBoost,4,0.9143206854345165,0.13953488372093023,0.15384615384615385,0.14634146341463414,0.8255553358381122,0.15507489910266511
C1: Real Only,XGBoost,5,0.9253365973072215,0.16129032258064516,0.125,0.14084507042253522,0.8124517374517374,0.15494258939289474
C1: Real Only,LightGBM,1,0.9046454767726161,0.12,0.15,0.13333333333333333,0.8094151670951157,0.1837611601035779
C1: Real Only,LightGBM,2,0.9254278728606357,0.2558139534883721,0.275,0.26506024096385544,0.8663560411311054,0.268314730102094
C1: Real Only,LightGBM,3,0.9058679706601467,0.16363636363636364,0.225,0.18947368421052632,0.8218187660668381,0.1612244156818729
C1: Real Only,LightGBM,4,0.9020807833537332,0.12727272727272726,0.1794871794871795,0.14893617021276595,0.8261815305517104,0.16136772027456864
C1: Real Only,LightGBM,5,0.9118727050183598,0.16666666666666666,0.2,0.18181818181818182,0.8085907335907335,0.14780063008536648
C1: Real Only,CatBoost,1,0.8887530562347188,0.17721518987341772,0.35,0.23529411764705882,0.7804305912596401,0.13920623908353197
C1: Real Only,CatBoost,2,0.8973105134474327,0.21052631578947367,0.4,0.27586206896551724,0.830366323907455,0.25931202896010325
