Experiment,Model,Threshold,Precision,Recall,F1-Score,TP,FP,FN,TN,FPR
C1: Real Only,Random Forest,0.1,0.12639405204460966,0.8542713567839196,0.22020725388601037,170,1175,29,2714,0.3021342247364361
C1: Real Only,Random Forest,0.15,0.14601344860710855,0.7638190954773869,0.24516129032258063,152,889,47,3000,0.2285934687580355
C1: Real Only,Random Forest,0.2,0.16687737041719342,0.6633165829145728,0.26666666666666666,132,659,67,3230,0.1694523013628182
C1: Real Only,Random Forest,0.25,0.1605351170568562,0.4824120603015075,0.24090338770388958,96,502,103,3387,0.12908202622782206
C1: Real Only,Random Forest,0.3,0.167816091954023,0.36683417085427134,0.2302839116719243,73,362,126,3527,0.09308305476986371
C1: Real Only,Random Forest,0.35,0.16352201257861634,0.2613065326633166,0.2011605415860735,52,266,147,3623,0.06839804577012086
C1: Real Only,Random Forest,0.4,0.19196428571428573,0.21608040201005024,0.2033096926713948,43,181,156,3708,0.046541527384931856
C1: Real Only,Random Forest,0.45,0.18243243243243243,0.135678391959799,0.15561959654178675,27,121,172,3768,0.03111339676009257
C1: Real Only,Random Forest,0.5,0.21505376344086022,0.10050251256281408,0.136986301369863,20,73,179,3816,0.018770892260221137
C1: Real Only,Random Forest,0.55,0.23333333333333334,0.07035175879396985,0.10810810810810811,14,46,185,3843,0.011828233479043456
C1: Real Only,Random Forest,0.6,0.2222222222222222,0.04020100502512563,0.06808510638297872,8,28,191,3861,0.007199794291591669
C1: Real Only,Random Forest,0.65,0.16666666666666666,0.01507537688442211,0.027649769585253458,3,15,196,3874,0.0038570326562098224
C1: Real Only,Random Forest,0.7,0.3,0.01507537688442211,0.028708133971291867,3,7,196,3882,0.0017999485728979173
C1: Real Only,Random Forest,0.75,0.4,0.010050251256281407,0.0196078431372549,2,3,197,3886,0.0007714065312419646
C1: Real Only,Random Forest,0.8,0.0,0.0,0.0,0,0,199,3889,0.0
C1: Real Only,Random Forest,0.85,0.0,0.0,0.0,0,0,199,3889,0.0
C1: Real Only,Random Forest,0.9,0.0,0.0,0.0,0,0,199,3889,0.0
C1: Real Only,Logistic Regression,0.1,0.07145434861060988,0.9949748743718593,0.13333333333333333,198,2573,1,1316,0.6616096682951915
C1: Real Only,Logistic Regression,0.15,0.08014646053702197,0.9899497487437185,0.14828754234098607,197,2261,2,1628,0.5813833890460273
C1: Real Only,Logistic Regression,0.2,0.08781362007168458,0.9849246231155779,0.16125051419169067,196,2036,3,1853,0.5235278992028799
C1: Real Only,Logistic Regression,0.25,0.09559187716691431,0.9698492462311558,0.1740306582506763,193,1826,6,2063,0.4695294420159424
C1: Real Only,Logistic Regression,0.3,0.10282916213275299,0.949748743718593,0.18556701030927836,189,1649,10,2240,0.4240164566726665
C1: Real Only,Logistic Regression,0.35,0.10931899641577061,0.9195979899497487,0.19540843566470903,183,1491,16,2398,0.3833890460272564
C1: Real Only,Logistic Regression,0.4,0.1151797603195739,0.8693467336683417,0.20340975896531452,173,1329,26,2560,0.34173309334019025
C1: Real Only,Logistic Regression,0.45,0.12378821774794929,0.8341708542713567,0.21558441558441557,166,1175,33,2714,0.3021342247364361
C1: Real Only,Logistic Regression,0.5,0.13047138047138046,0.7788944723618091,0.22350396539293438,155,1033,44,2856,0.2656209822576498
